Wall time,Step,Value
1540782018,16845,1.919847727
1540782018,16859,1.77658534
1540782019,16901,1.873128057
1540782020,16926,1.810209632
1540782021,17001,1.881113052
1540782023,17068,1.942333817
1540782023,17099,1.893235326
1540782024,17133,1.818158984
1540782024,17134,1.76389575
1540782025,17156,1.843135595
1540782026,17194,2.05562067
1540782026,17199,1.987925053
1540782026,17204,1.981490731
1540782026,17214,1.845458865
1540782026,17241,1.77142036
1540782026,17242,1.762741923
1540782026,17249,1.895410419
1540782027,17263,1.964827299
1540782027,17274,1.906179309
1540782027,17292,1.962053061
1540782027,17294,1.969146848
1540782028,17317,1.867549539
1540782028,17318,1.897106051
1540782028,17319,1.817392588
1540782028,17322,1.849227905
1540782028,17341,1.886713624
1540782029,17376,1.889028549
1540782029,17389,1.815026283
1540782029,17393,1.861227632
1540782029,17406,1.907151461
1540782029,17407,1.902844667
1540782030,17417,1.816902518
1540782030,17428,1.815133929
1540782030,17438,1.763065934
1540782030,17446,1.806778073
1540782031,17456,1.843099952
1540782032,17505,1.912627816
1540782032,17513,2.053195238
1540782032,17517,2.088742733
1540782033,17545,1.834823251
1540782033,17559,2.003225088
1540782033,17565,2.004250288
1540782033,17579,1.833668351
1540782033,17581,1.803039551
1540782034,17588,1.800571203
1540782034,17592,1.988722801
1540782034,17595,1.884171605
1540782034,17596,1.879158258
1540782034,17600,1.797788143
1540782034,17625,1.868979096
1540782034,17635,1.941571593
1540782034,17639,1.913900137
1540782035,17655,1.873187184
1540782035,17669,1.728363276
1540782036,17705,1.874969006
1540782036,17706,1.897385597
1540782036,17713,1.853239179
1540782036,17724,1.76593256
1540782037,17735,1.639573812
1540782037,17754,1.920643806
1540782037,17773,1.900347114
1540782037,17774,1.866954684
1540782038,17779,1.893827438
1540782038,17806,1.831233263
1540782039,17824,1.77019453
1540782039,17844,1.808108568
1540782041,17955,1.76048708
1540782041,17964,1.775174141
1540782042,17980,2.034061193
1540782042,17983,1.946929574
1540782042,17992,1.770772099
1540782043,18020,1.700299263
1540782043,18054,1.812302709
1540782043,18055,1.860781074
1540782043,18064,1.949454188
1540782044,18067,1.851322055
1540782044,18106,2.022945881
1540782045,18121,1.842954755
1540782045,18131,1.899143219
1540782045,18146,2.068593502
1540782045,18148,2.063928127
1540782046,18156,1.891451955
1540782046,18172,1.935591698
1540782046,18173,1.946904302
1540782046,18192,1.721418858
1540782047,18216,1.919435143
1540782047,18227,1.898320556
1540782047,18238,1.867410779
1540782048,18266,1.706363916
1540782048,18278,1.848850608
1540782049,18320,1.704015374
1540782049,18323,1.750473857
1540782050,18364,1.981269002
1540782050,18372,1.824912071
1540782052,18453,1.777942657
1540782052,18454,1.723446369
